"polygons.SIMPLE_NAME","polygons.MAIN_ROCK","polygons.UNIT_CODE","polygons.DESCRIPTION","polygons.MAP_UNIT","polygons.groupID_AhdiAK"
"Early Pleistocene shoreline deposits","gravel","Q17b","Weathered to strongly weathered boulders & sandy gravels mixed with peaty soils, overlie wave-cut platforms 600 & 640m ASL","marine terrace deposit","16_terrace"
"Early Pleistocene river deposits","gravel","eQa","Slightly to moderately weathered, muddy to sandy gravel in outwash terrace remnants; dissected","Old to very old outwash","12_outwash"
"Paleogene sedimentary rocks","conglomerate","Oc","weathered pebble conglomerate and pebbly sandstone","conglomerate","15_undifSed"
"Early Pleistocene sedimentary rocks","mud","eQi","Unconsolidated to slightly consolidated, laminated mud (with scattered dropstones) and sand; pebbly gravel; rare till","mud","15_undifSed"
"Early Pleistocene shoreline deposits","gravel","Q17b","Weathered to strongly weathered boulders & sandy gravels mixed with peaty soils, overlie wave-cut platforms 560 & 600m ASL","marine terrace deposit","16_terrace"
"Late Pleistocene river deposits","gravel","lQal","partly consolidated well sorted sandstone-derived gravel and sand  some peat and mud  generally loess-covered","terrace alluvium","16_terrace"
"Holocene shoreline deposits","sand","Q1b","sand and gravel in modern beaches; back-beach ridges and tidal platforms","beaches","09_beachBarDune"
"Basement (Median Batholith) igneous rocks","gneiss","Thbg","quartz-biotite-epidote gneiss derived from Holly Burn Intrusives","gneiss","18_crystalline"
"Middle Pleistocene river deposits","gravel","mQa","weathered gravel and sand in dissected terrace remnants several metres of loess  locally eroded","terrace alluvium","16_terrace"
"Early Pleistocene shoreline deposits","gravel","Q15b","Weathered to strongly weathered boulders & sandy gravels mixed with peaty soils, overlie wave-cut platforms 500 & 550m ASL","marine terrace deposit","16_terrace"
"Paleogene sedimentary rocks","sandstone","EOlbm","Basal conglomerate and pebbly sandstone overlain by sandstone with carbonaceous mudstone and rare coal","sandstone","15_undifSed"
"Neogene sedimentary rocks","limestone","Miul","soft to cemented shelly limestone","limestone","15_undifSed"
"Middle Pleistocene river deposits","gravel","Q7al","moderately weathered gravel and sand  several metres of loess","terrace alluvium","16_terrace"
"Middle Pleistocene shoreline deposits","gravel","Q13b","Weathered bouldery sands to well-rounded and sorted gravels on marine bench remnants between 425 and 460m ASL","marine terrace deposit","16_terrace"
"Basement (Eastern Province) sedimentary rocks","sandstone","mTk","folded sandstone with subordinate mudstone and minor tuff and conglomerate","sandstone","15_undifSed"
"Basement (Western Province) metamorphic rocks","psammite","eOrf","Variably schistose psammite with minor pelite, calc-silicate, marble and amphibolite; occurs as raft in pluton","psammite","18_crystalline"
"Basement (Eastern Province) sedimentary rocks","siltstone","eJdm","fine sandstone and siltstone with rare conglomerate and grit beds","siltstone","15_undifSed"
"Middle Pleistocene shoreline deposits","gravel","Q13b","Weathered bouldery sands to well-rounded and sorted gravels on marine bench remnants between 360 and 380m ASL","marine terrace deposit","16_terrace"
"Middle Pleistocene shoreline deposits","gravel","Q11b","Weathered bouldery sands to well-rounded and sorted gravels on marine bench remnants between 270 and 330m ASL","marine terrace deposit","16_terrace"
"Basement (Eastern Province) igneous rocks","keratophyre","Ylo","weathered and shattered altered volcanics and granite","volcanics","18_crystalline"
"Paleogene sedimentary rocks","mudstone","EOlbf","Dark brown, massive, carbonaceous mudstone (siltstone) with minor sandstone; conglomerate near top; locally contains concretions","mudstone","15_undifSed"
"Paleogene sedimentary rocks","conglomerate","Olwkc","Sandy pebble to cobble conglomerate with interbeds of minor coarse sandstone. Carbonaceous muddy sst & coalified wood near base","conglomerate","15_undifSed"
"Middle Pleistocene shoreline deposits","gravel","Q11b","Weathered bouldery sands to well-rounded and sorted gravels on marine bench remnants between 210 and 260m ASL","marine terrace deposit","16_terrace"
"Neogene sedimentary rocks","sandstone","PleQa","sandstone siltstone and variably carboniferous mudstone with conglomerate lenses","sandstone","15_undifSed"
"Basement (Eastern Province) sedimentary rocks","mudstone","mJfm","zeolitised mudstone with minor sandstone and siltstone","mudstone","15_undifSed"
"Middle Pleistocene shoreline deposits","gravel","Q9b","Slightly to moderately weathered gravel and sand on marine bench remnants between 150 to 220m ASL","marine terrace gravel","16_terrace"
"Basement (Western Province) metamorphic rocks","gneiss","PZmsh","Porphyroblastic quartzofeldspathic biotite gneiss and biotite-epidote gneiss; quartzofeldpathic garnet hornfels","metasediment","18_crystalline"
"Basement (Western Province) metamorphic rocks","psammite","eOrf","Variably schistose psammite with minor pelite, quartzite, calc-silicate and marble; occurs as raft in pluton","psammite","18_crystalline"
"Middle Pleistocene shoreline deposits","gravel","Q9b","Slightly to moderately weathered gravel and sand on marine bench remnants; age uncertain, could be Q11 because of higher level","marine terrace gravel","16_terrace"
"Basement (Median Batholith) igneous rocks","granodiorite","eKpp","Fine grained, equigranular, massive, granodiorite, granite, leucogranite and minor leucotonalite; isolated euhedral biotite","granodiorite","18_crystalline"
"Basement (Median Batholith) igneous rocks","cataclasite","KeCabpz","zone of cataclasis (cataclasite rock) overprinting Big Pluton granite and granodiorite","granite","18_crystalline"
"Paleogene - Neogene sedimentary rocks","mudstone","OlMiwks","Pebbly to bouldery mudstone; massive mst; interbedded graded sst & mst packets; breccia-bearing limestone next to Hauroko Fault","mudstone","15_undifSed"
"Paleogene sedimentary rocks","breccia","Es","M-bedded to massive, red weathering, sandy pebble to boulder breccia and  breccia-conglomerate. Rare sandstone interbeds","breccia","15_undifSed"
"Late Pleistocene shoreline deposits","gravel","Q5b","Pebbly to bouldery gravel, sand, and minor peat underlying marine benches behind old sea cliffs gravel quartz-dominated east of","marine terraces","16_terrace"
"Basement (Median Batholith) igneous rocks","diorite","Thb","undifferentiated diorite; monzodiorite; granodiorite; rare syenogranite and monzogranite","intrusives","18_crystalline"
"Paleogene sedimentary rocks","breccia","EOlbg","Submarine landslide deposit made of bouldery breccia in a marly to coarse sandy matrix;clasts are locally derived basement rocks","breccia","15_undifSed"
"Basement (Median Batholith) igneous rocks","gabbro","Jpi","undifferentiated olivine and hornblende gabbro with troctolite; peridotite and anorthosite","gabbro","18_crystalline"
"Holocene windblown deposits","sand","Q1dm","sand in active dune fields","active dunes","11_loess"
"Middle Pleistocene - Late Pleistocene river deposits","gravel","lQaf","partly consolidated poorly sorted sandstone-derived gravel and sand  generally loess-covered","alluvial fan","10_fan"
"Holocene windblown deposits","sand","Q1ds","stable longitudinal and parabolic sand dunes with peat in hollows","stable dunes","11_loess"
"Basement (Median Batholith) igneous rocks","quartz diorite","Jpib","quartz diorite with hybrid contact zones","diorite","18_crystalline"
"Basement (Median Batholith) igneous rocks","granite","Jpig","medium grained biotite granite","granite","18_crystalline"
"Basement (Median Batholith) igneous rocks","monzodiorite","Thba","foliated quartz monzodiorite with abundant xenoliths","diorite","18_crystalline"
"Basement (Eastern Province) sedimentary rocks","siltstone","emTn","well bedded siltstone  sandstone   tuff  shellbeds and conglomerate","siltstone","15_undifSed"
"Basement (Eastern Province) igneous rocks","diorite","eTod","meladiorite on gabbro margins","diorite","18_crystalline"
"Basement (Eastern Province) igneous rocks","granite","eTcg","biotite granite to granodiorite","granite","18_crystalline"
"Late Pleistocene river deposits","gravel","Q3al","partly consolidated moderately weathered gravel and sand","terrace alluvium","16_terrace"
"Basement (Eastern Province) sedimentary rocks","conglomerate","mJmc","conglomerate with subordinate grit and sandstone","conglomerate","15_undifSed"
"Basement (Eastern Province) sedimentary rocks","conglomerate","mJm","indurated well sorted unfossiliferous nonmarine sediments with plant beds","conglomerate sandstone","15_undifSed"
"Basement (Eastern Province) sedimentary rocks","breccia","Ygg","volcaniclastic breccia; dolerite; basalt; tuff; sandstone; and impure marble; variably hornfelsed and foliated","breccia","15_undifSed"
"Basement (Eastern Province) sedimentary rocks","sandstone","mJf","indurated fossiliferous massive to thin bedded marine sediments with tuff and plant beds  closely jointed  zeolitised","sandstone mudstone","15_undifSed"
"Basement (Eastern Province) igneous rocks","dunite","Ybbidz"," ","dunite","18_crystalline"
"Basement (Eastern Province) igneous rocks","gabbro","Ybbigoz","massive gabbro and norite","gabbro","18_crystalline"
"Basement (Eastern Province) sedimentary rocks","conglomerate","mJfmc","coarse conglomerate with thin sandstone beds","conglomerate","15_undifSed"
"Basement (Eastern Province) sedimentary rocks","conglomerate","mJfc","conglomerate with sandstone interbeds","conglomerate","15_undifSed"
"Holocene shoreline deposits","gravel","Q1bg","gravel in beach ridges on Tiwai peninsula","beaches","09_beachBarDune"
"Basement (Eastern Province) igneous rocks","granodiorite","Ybbigrz","granodiorite","granodiorite","18_crystalline"
"Late Pleistocene shoreline deposits","sand","Q5b","dunes at 10m ASL at Waipapa Point","dunes","09_beachBarDune"
"Middle Pleistocene igneous rocks","andesite","mQsv","Porphyritic plagioclase-hornblende andesite flows, agglomerate and tuff, with minor dikes; rare intercalated lignite","andesite","18_crystalline"
"Basement (Median Batholith) igneous rocks","granodiorite","eKsmop","medium massive biotite muscovite granodiorite and granite","granodiorite pluton","18_crystalline"
"Basement (Median Batholith) igneous rocks","gabbro","eKsads","heterogeneous dunite; norite; gabbro; anorthositic gabbro; and subordinate diorite","gabbro","18_crystalline"
"Basement (Median Batholith) igneous rocks","diorite","eKnoap","homogenous medium grained diorite; quartz monzodiorite and granodiorite","diorite pluton","18_crystalline"
"Basement (Median Batholith) igneous rocks","diorite","eKrugsy","heterogeneous diorite; granodiorite; granite; microdiorite; andesite and basalt","diorite","18_crystalline"
"Basement (Median Batholith) igneous rocks","granite","eCarugp","coarse massive homogenous biotite granite and leucogranite","granite pluton","18_crystalline"
"Basement (Median Batholith) igneous rocks","diorite","eKbunas","heterogeneous diorite; granodiorite; granite; microdiorite; andesite and basalt","diorite","18_crystalline"
"Late Pleistocene - Holocene river deposits","gravel","uQal","sandy gravel in high terrace remnants","alluvium","06_alluvium"
"Basement (Eastern Province) igneous rocks","tonalite","Ybbitoz","tonalite; quartz diorite and diorite","tonalite","18_crystalline"
"Pleistocene - Holocene river deposits","sand","uQaf","gravel and sand in alluvial fans and colluvial slope aprons","alluvial fan","10_fan"
"Basement (Median Batholith) metamorphic rocks","gneiss","eKrugsyz","foliated diorite; granodiorite and microdiorite of East Ruggedy Suite","gneiss","18_crystalline"
"Late Pleistocene river deposits","sand","lQh","laminated sand and subordinate breccia and gravel; often limonitic","terraces","16_terrace"
"Basement (Eastern Province) igneous rocks","diorite","Ybbidhz","intrusion zone of diorite to tonalite with abundant hornfels xenoliths","diorite","18_crystalline"
"Holocene glacier deposits","till","Q1t","bouldery sandy till in moraines on Mt Anglem","moraine","14_moraineTill"
"Basement (Eastern Province) metamorphic rocks","schist","eJpg","Volcaniclastic sediments, conglomerate rhyolite and dacite, variably foliated and mylonitised metamorphosed to greenschist and a","metasediments","18_crystalline"
"Basement (Eastern Province) igneous rocks","norite","Ybbigoz","norite; with wide metasomatic marginal zone","gabbro","18_crystalline"
"Basement (Median Batholith) igneous rocks","granodiorite","eKfrenp","massive fine biotite ± hornblende ± muscovite granodiorite and granite","granodiorite pluton","18_crystalline"
